pid,unique_id,rating,album_name,track_name,artist_name
0,1,3,The Cookbook,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott
0,2,4,In The Zone,Toxic,Britney Spears
0,3,1,Dangerously In Love (Alben für die Ewigkeit),Crazy In Love,Beyoncé
0,4,2,Justified,Rock Your Body,Justin Timberlake
0,5,1,Hot Shot,It Wasn't Me,Shaggy
0,6,3,Confessions,Yeah!,Usher
0,7,4,Confessions,My Boo,Usher
0,8,4,PCD,Buttons,The Pussycat Dolls
0,9,2,The Writing's On The Wall,Say My Name,Destiny's Child
0,10,4,Speakerboxxx/The Love Below,Hey Ya! - Radio Mix / Club Mix,OutKast
0,11,3,Loose,Promiscuous,Nelly Furtado
0,12,4,Right Where You Want Me,Right Where You Want Me - Radio Edit Version,Jesse McCartney
0,13,4,Beautiful Soul,Beautiful Soul,Jesse McCartney
0,14,4,Departure - Recharged,Leavin',Jesse McCartney
0,15,3,Cassie,Me & U,Cassie
0,16,2,21,Ice Box,Omarion
0,17,4,Let Go,Sk8er Boi,Avril Lavigne
0,18,2,Chris Brown,Run It!,Chris Brown
0,19,2,B'Day,Check On It - feat. Bun B and Slim Thug,Beyoncé
0,20,1,The Writing's On The Wall,"Jumpin', Jumpin'",Destiny's Child
0,21,1,C'Mon C'Mon,Soak Up The Sun,Sheryl Crow
0,22,3,Elephunk,Where Is The Love?,The Black Eyed Peas
0,23,2,I've Never Done Anything Like This,Stacy's Mom,Bowling For Soup
0,24,1,Greetings From Imrie House,Just The Girl,The Click Five
0,25,3,Chris Brown,Yo (Excuse Me Miss),Chris Brown
0,26,3,Jonas Brothers,Year 3000,Jonas Brothers
0,27,2,Lip Gloss,Lip Gloss,Lil Mama
0,28,4,Everytime We Touch,Everytime We Touch - Radio Edit,Cascada
0,29,1,Jason Derulo,Whatcha Say,Jason Derulo
0,30,1,Year Of The Gentleman,Miss Independent,Ne-Yo
0,31,4,The Time Of Our Lives,Party In The U.S.A.,Miley Cyrus
0,32,4,Boys Like Girls,The Great Escape,Boys Like Girls
0,33,3,Replay,Replay,Iyaz
0,34,2,Exclusive - The Forever Edition,Forever,Chris Brown
0,35,1,Animal,Your Love Is My Drug,Kesha
0,36,3,Year Of The Gentleman,Closer,Ne-Yo
0,37,3,My World,One Less Lonely Girl,Justin Bieber
0,38,1,Kala,Paper Planes,M.I.A.
0,39,1,Hot Fuss,Mr. Brightside,The Killers
0,40,1,Enema Of The State,All The Small Things,blink-182
0,41,4,PCD,Beep,The Pussycat Dolls
0,42,4,My Worlds,Somebody To Love,Justin Bieber
0,43,4,Move Along,Dirty Little Secret,The All-American Rejects
0,44,1,My Worlds,Baby,Justin Bieber
0,45,1,Be Not Nobody,A Thousand Miles,Vanessa Carlton
0,46,3,Red Road,Livin on Sunday,Cris Cab
0,47,2,See You Again,See You Again,Miley Cyrus
0,48,5,Departure - Recharged,How Do You Sleep? - Featuring Ludacris,Jesse McCartney
0,49,3,Camp Rock Original Soundtrack,This Is Me,Demi Lovato
0,50,2,Under My Skin,My Happy Ending,Avril Lavigne
0,51,1,We The Kings,Check Yes Juliet,We The Kings
0,32,4,Boys Like Girls,The Great Escape,Boys Like Girls
1,52,2,Eye Of The Tiger,Eye of the Tiger,Survivor
1,53,3,Versus Hollywood,Libera Me From Hell (Tengen Toppa Gurren Lagann),Daniel Tidwell
1,54,2,Versus Hollywood,Pokémon Theme,Daniel Tidwell
1,55,1,Versus Hollywood,Concerning Hobbits (The Lord of the Rings),Daniel Tidwell
1,56,2,Versus Hollywood,The Blood of Cuchulainn (The Boondock Saints),Daniel Tidwell
1,57,2,Versus Hollywood,He's a Pirate (Pirates of the Caribbean),Daniel Tidwell
1,58,4,Versus Video Games,Very Bloody Tears (Castlevania II: Simon's Quest),Daniel Tidwell
1,59,1,"Video Game Remixes, Vol. 1",U.N. Owen Was Her? (Remix),Kaleptik
1,60,4,Doctor Who: Series 6 (Original Television Soundtrack),I am the Doctor in Utah,Ben Foster
1,61,3,Hamilton,The Room Where It Happens,Leslie Odom Jr.
1,62,4,Hamilton,Right Hand Man,Christopher Jackson
1,63,2,Hamilton,Alexander Hamilton,Leslie Odom Jr.
1,64,1,Hamilton,My Shot,Lin-Manuel Miranda
1,65,1,Led Zeppelin IV,Stairway To Heaven,Led Zeppelin
1,66,3,"Hints, Allegations & Things Left Unsaid",Shine,Collective Soul
1,67,1,Once,Ghost Love Score,Nightwish
1,68,3,Best 1991 - 2004,Crazy,Seal
1,69,3,Beggars Banquet,Sympathy For The Devil,The Rolling Stones
1,70,2,Let It Bleed,Gimme Shelter,The Rolling Stones
1,71,3,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird,Lynyrd Skynyrd
1,72,2,Boston,Peace of Mind,Boston
1,73,2,Boston,Foreplay / Long Time,Boston
1,74,3,Toto,Hold the Line,Toto
1,75,2,Leftoverture,Carry on Wayward Son,Kansas
1,76,4,A Night At The Opera,Bohemian Rhapsody - Remastered 2011,Queen
1,77,1,Second Helping,Sweet Home Alabama,Lynyrd Skynyrd
1,78,1,Boston,More Than a Feeling,Boston
1,79,2,Physical Graffiti,Kashmir,Led Zeppelin
1,80,4,Doctor Who: Series 6 (Original Television Soundtrack),The Majestic Tale (Of A Madman In A Box),Ben Foster
1,81,1,Appetite For Destruction,Sweet Child O' Mine,Guns N' Roses
1,82,1,Willy And The Poor Boys,Fortunate Son,Creedence Clearwater Revival
1,83,3,Love At First Sting,Rock You Like A Hurricane,Scorpions
1,84,4,Moving Pictures,Tom Sawyer,Rush
1,85,4,Moving Pictures,Red Barchetta,Rush
1,86,4,Moving Pictures,YYZ,Rush
1,87,5,Moving Pictures,Limelight,Rush
1,88,5,Moving Pictures,The Camera Eye,Rush
1,89,5,Moving Pictures,Witch Hunt,Rush
1,90,5,Moving Pictures,Vital Signs,Rush
2,91,1,On And On,Like You,Hoody
2,92,3,GOOD (feat. ELO),GOOD (feat. ELO),Loco
2,93,1,Inferiority Complex (feat. Eunha),Inferiority Complex (feat. Eunha),Park Kyung
2,94,3,Ordinary Love (Feat.Park Boram),Ordinary Love,Park Kyung
2,95,5,You Never Walk Alone,Spring Day,BTS
2,96,2,Lovelyz8,Ah-Choo,Lovelyz
2,97,4,SEOULITE,BREATHE,LEE HI
2,98,3,SEOULITE,FXXK WIT US,LEE HI
2,99,3,U&I,I Will Show You,Ailee
2,100,3,Take Me,Take Me,Miso
2,101,2,꺼내 먹어요 (Eat) - Single,꺼내 먹어요 (Eat),Zion.T
2,102,1,No Make Up - Single,No Make Up,Zion.T
2,103,2,"K.A.R.D Project Vol.1 ""Oh NaNa""",Oh NaNa (Hidden. HUR YOUNG JI),KARD
2,104,4,"K.A.R.D Project Vol.2 ""Don't Recall""",Don't Recall,KARD
2,105,2,양화대교 (Yanghwa Brdg) - Single,양화대교 (Yanghwa Brdg),Zion.T
2,106,2,Some,Some (feat.Geeks Lil Boi),Soyou & Junggigo
2,107,3,Everything You Wanted,Me Like Yuh,Jay Park
2,108,3,Everything You Wanted,사실은 The Truth Is,Jay Park
2,109,1,Everything You Wanted,Solo (feat. Hoody),Jay Park
2,110,4,Boys And Girls,Boys and Girls (feat. Babylon),Zico
2,111,4,Guardian (Original Television Soundtrack) Part 9,I will go to you like the first snow,Ailee
2,112,4,First Love,Rose,LEE HI
2,113,3,Everything You Wanted,Aquaman,Jay Park
2,114,5,Skool Luv Affair,Just One Day,BTS
2,115,1,SQUARE ONE,WHISTLE - KR Ver.,BLACKPINK
2,116,3,The Manual,The Manual,Eddy Kim
2,117,3,Heartstrings OST Part.1,Heartstrings,Jung Yong Hwa
2,118,2,Korea OST Top Hits 2014,See My Eyes (Heartstring OST),Jung Yong Hwa
2,119,2,Can't Stop,Can't Stop,CNBLUE
2,120,4,BLUEMING,You're So Fine,CNBLUE
2,121,4,Everything You Wanted,Drive (feat. Gray),Jay Park
2,122,4,Pink LUV + Blossom,Mr. Chu,Apink
2,123,2,APINK BEAST ALBUM,NoNoNo,Apink
2,124,2,Dream,Dream,Suzy
2,125,2,우리 옆집에 EXO가 산다 (EXO NEXT DOOR) OST,두근거려 (Beautiful),BAEKHYUN
2,126,3,Uncontrollably Fond OST Part.1,Ring My Bell,Suzy
2,127,4,"HWARANG, Pt. 2 (Music from the Original TV Series)",It's Definitely You,V
2,128,2,MADE,LAST DANCE,BIGBANG
2,129,1,MADE,FXXK IT,BIGBANG
2,130,2,On And On,Your Eyes (feat. Jay Park),Hoody
2,131,4,As If It's Your Last,As If It's Your Last,BLACKPINK
