unique_id,rating,pid,album_name,track_name,artist_name,Genre,cluster,cluster_label
1,3,0,The Cookbook,Lose Control (feat. Ciara & Fat Man Scoop),missy elliott,Hip hop,7,15
2,4,0,In The Zone,Toxic,britney spears,Pop,2,16
3,1,0,Dangerously In Love (Alben für die Ewigkeit),Crazy In Love,beyoncé,,8,5
4,2,0,Justified,Rock Your Body,justin timberlake,Pop,7,5
5,1,0,Hot Shot,It Wasn't Me,shaggy,Reggae,3,7
6,3,0,Confessions,Yeah!,usher,R&B,3,16
7,4,0,Confessions,My Boo,usher,R&B,3,16
8,4,0,PCD,Buttons,the pussycat dolls,Pop,3,16
9,2,0,The Writing's On The Wall,Say My Name,destiny's child,R&B,2,7
10,4,0,Speakerboxxx/The Love Below,Hey Ya! - Radio Mix / Club Mix,outkast,Hip hop,7,15
11,3,0,Loose,Promiscuous,nelly furtado,Pop,7,15
12,4,0,Right Where You Want Me,Right Where You Want Me - Radio Edit Version,jesse mccartney,Pop,7,15
13,4,0,Beautiful Soul,Beautiful Soul,jesse mccartney,Pop,7,15
14,4,0,Departure - Recharged,Leavin',jesse mccartney,Pop,7,15
15,3,0,Cassie,Me & U,cassie,R&B,2,16
16,2,0,21,Ice Box,omarion,R&B,7,5
17,4,0,Let Go,Sk8er Boi,avril lavigne,Pop punk,2,16
18,2,0,Chris Brown,Run It!,chris brown,R&B,2,7
19,2,0,B'Day,Check On It - feat. Bun B and Slim Thug,beyoncé,,8,5
20,1,0,The Writing's On The Wall,"Jumpin', Jumpin'",destiny's child,R&B,2,7
21,1,0,C'Mon C'Mon,Soak Up The Sun,sheryl crow,Rock,3,7
22,3,0,Elephunk,Where Is The Love?,the black eyed peas,Hip hop,3,16
23,2,0,I've Never Done Anything Like This,Stacy's Mom,bowling for soup,Pop punk,2,7
24,1,0,Greetings From Imrie House,Just The Girl,the click five,Pop rock,3,7
25,3,0,Chris Brown,Yo (Excuse Me Miss),chris brown,R&B,2,16
26,3,0,Jonas Brothers,Year 3000,jonas brothers,Pop rock,7,15
27,2,0,Lip Gloss,Lip Gloss,lil mama,Hip hop,7,5
28,4,0,Everytime We Touch,Everytime We Touch - Radio Edit,cascada,Eurodance,2,16
29,1,0,Jason Derulo,Whatcha Say,jason derulo,Pop,7,5
30,1,0,Year Of The Gentleman,Miss Independent,ne-yo,R&B,7,5
31,4,0,The Time Of Our Lives,Party In The U.S.A.,miley cyrus,Pop,7,15
32,4,0,Boys Like Girls,The Great Escape,boys like girls,Pop rock,2,16
33,3,0,Replay,Replay,iyaz,R&B,7,15
34,2,0,Exclusive - The Forever Edition,Forever,chris brown,R&B,2,7
35,1,0,Animal,Your Love Is My Drug,kesha,Pop,7,5
36,3,0,Year Of The Gentleman,Closer,ne-yo,R&B,7,15
37,3,0,My World,One Less Lonely Girl,justin bieber,Pop,7,15
38,1,0,Kala,Paper Planes,m.i.a.,Alternative hip hop,7,5
39,1,0,Hot Fuss,Mr. Brightside,the killers,Indie rock,3,7
40,1,0,Enema Of The State,All The Small Things,blink-182,Pop punk,2,7
41,4,0,PCD,Beep,the pussycat dolls,Pop,3,16
42,4,0,My Worlds,Somebody To Love,justin bieber,Pop,7,15
43,4,0,Move Along,Dirty Little Secret,the all-american rejects,Pop rock,3,16
44,1,0,My Worlds,Baby,justin bieber,Pop,7,5
45,1,0,Be Not Nobody,A Thousand Miles,vanessa carlton,Pop,3,7
46,3,0,Red Road,Livin on Sunday,cris cab,Pop,2,16
47,2,0,See You Again,See You Again,miley cyrus,Pop,7,5
48,5,0,Departure - Recharged,How Do You Sleep? - Featuring Ludacris,jesse mccartney,Pop,7,15
49,3,0,Camp Rock Original Soundtrack,This Is Me,demi lovato,Pop,2,16
50,2,0,Under My Skin,My Happy Ending,avril lavigne,Pop punk,2,7
51,1,0,We The Kings,Check Yes Juliet,we the kings,Pop rock,3,7
52,2,1,Eye Of The Tiger,Eye of the Tiger,survivor,Rock,3,7
53,3,1,Versus Hollywood,Libera Me From Hell (Tengen Toppa Gurren Lagann),daniel tidwell,Heavy metal,2,16
54,2,1,Versus Hollywood,Pokémon Theme,daniel tidwell,Heavy metal,2,7
55,1,1,Versus Hollywood,Concerning Hobbits (The Lord of the Rings),daniel tidwell,Heavy metal,2,7
56,2,1,Versus Hollywood,The Blood of Cuchulainn (The Boondock Saints),daniel tidwell,Heavy metal,2,7
57,2,1,Versus Hollywood,He's a Pirate (Pirates of the Caribbean),daniel tidwell,Heavy metal,2,7
58,4,1,Versus Video Games,Very Bloody Tears (Castlevania II: Simon's Quest),daniel tidwell,Heavy metal,2,16
59,1,1,"Video Game Remixes, Vol. 1",U.N. Owen Was Her? (Remix),kaleptik,Electronic,7,5
60,4,1,Doctor Who: Series 6 (Original Television Soundtrack),I am the Doctor in Utah,ben foster,Soundtrack,2,16
61,3,1,Hamilton,The Room Where It Happens,leslie odom jr.,R&B,7,15
62,4,1,Hamilton,Right Hand Man,christopher jackson,R&B,2,16
63,2,1,Hamilton,Alexander Hamilton,leslie odom jr.,R&B,7,5
64,1,1,Hamilton,My Shot,lin-manuel miranda,Broadway,7,5
65,1,1,Led Zeppelin IV,Stairway To Heaven,led zeppelin,Rock,7,5
66,3,1,"Hints, Allegations & Things Left Unsaid",Shine,collective soul,Alternative rock,2,16
67,1,1,Once,Ghost Love Score,nightwish,Symphonic metal,7,5
68,3,1,Best 1991 - 2004,Crazy,seal,Soul,3,16
69,3,1,Beggars Banquet,Sympathy For The Devil,the rolling stones,Rock,3,16
70,2,1,Let It Bleed,Gimme Shelter,the rolling stones,Rock,3,7
71,3,1,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird,lynyrd skynyrd,Southern rock,7,15
72,2,1,Boston,Peace of Mind,boston,Rock,2,7
73,2,1,Boston,Foreplay / Long Time,boston,Rock,2,7
74,3,1,Toto,Hold the Line,toto, Rock,3,16
75,2,1,Leftoverture,Carry on Wayward Son,kansas, Rock,7,5
76,4,1,A Night At The Opera,Bohemian Rhapsody - Remastered 2011,queen, Rock,3,16
77,1,1,Second Helping,Sweet Home Alabama,lynyrd skynyrd,Southern rock,7,5
